time,ref1,finger1_exp1,finger1_exp2,finger1_exp3,finger1_exp4,finger1_exp5,ref2,finger2_exp1,finger2_exp2,finger2_exp3,finger2_exp4,finger2_exp5,ref3,finger3_exp1,finger3_exp2,finger3_exp3,finger3_exp4,finger3_exp5,force_ref1,force_finger1_exp1,force_finger1_exp2,force_finger1_exp3,force_finger1_exp4,force_finger1_exp5,force_ref2,force_finger2_exp1,force_finger2_exp2,force_finger2_exp3,force_finger2_exp4,force_finger2_exp5,force_ref3,force_finger3_exp1,force_finger3_exp2,force_finger3_exp3,force_finger3_exp4,force_finger3_exp5
0,0,4.285126e-05,4.27376e-05,4.247238e-05,4.290809e-05,4.287021e-05,0,3.923296e-05,3.982023e-05,3.934663e-05,3.982023e-05,4.004755e-05,0,5.135711e-05,5.211486e-05,5.109189e-05,5.171704e-05,5.209593e-05,0,3.637243e-06,2.898428e-06,3.940346e-06,3.637243e-06,3.125755e-06,0,1.458686e-06,4.925433e-07,1.250302e-06,1.439742e-06,1.250302e-06,0,4.529504e-05,2.868117e-05,3.262152e-05,3.428859e-05,3.480007e-05
0.01,0,0.0007963273,0.0007950477,0.0007902496,0.0007974786,0.0007967742,0,0.0007294571,0.0007405456,0.0007322145,0.0007406024,0.0007443361,0,0.0009542513,0.000969286,0.0009507983,0.0009615113,0.0009684035,0,6.762011e-05,5.388476e-05,7.244052e-05,6.79232e-05,5.858462e-05,0,2.681538e-05,9.990423e-06,2.326335e-05,2.687995e-05,2.199411e-05,0,0.0008417975,0.0005360921,0.0006073392,0.0006371004,0.0006465336
0.02,0,0.007320343,0.007315761,0.007272582,0.007331649,0.007325417,0,0.006708727,0.006812051,0.006739509,0.006813373,0.006843516,0,0.008771067,0.008916671,0.008752174,0.008842885,0.008904633,0,0.0006217761,0.0004963187,0.0006587356,0.0006267859,0.000542984,0,0.0002439164,9.994909e-05,0.0002137284,0.0002479522,0.0001920641,0,0.00773867,0.004956793,0.005592583,0.005855019,0.005941985
0.03,0,0.04457098,0.04458348,0.04432448,0.04464336,0.04460844,0,0.04086376,0.04150001,0.04108088,0.0415153,0.04167523,0,0.05339975,0.05432238,0.05335726,0.05386622,0.05423132,0,0.003786545,0.003032295,0.003968458,0.003827045,0.003331817,0,0.001470116,0.0006593062,0.001297921,0.00151333,0.001116851,0,0.04711955,0.03035417,0.03410411,0.03563561,0.03617228
0.04,0,0.2030782,0.2033028,0.2021327,0.2034212,0.2032816,0,0.1862526,0.1891781,0.1873612,0.1892939,0.1899225,0,0.2432945,0.2476209,0.2434013,0.2455423,0.2471537,0,0.01725583,0.0138814,0.01789933,0.01746974,0.0152906,0,0.006633907,0.003236014,0.005885525,0.006905591,0.004893664,0,0.2146972,0.1390821,0.1556031,0.1622902,0.1647926
0.05,0,0.741647,0.7430181,0.7387564,0.7429429,0.7425172,0,0.6804002,0.6911614,0.6848286,0.6918038,0.693758,0,0.8885121,0.9046125,0.8898817,0.8971235,0.9028151,0,0.06303191,0.05098988,0.06475499,0.06386331,0.0562094,0,0.02400832,0.01264982,0.02134636,0.02523852,0.01732365,0,0.7841147,0.5107005,0.5689582,0.5923731,0.6017984
0.06,0,2.270183,2.275879,2.262808,2.274283,2.27324,0,2.08321,2.116328,2.097772,2.119111,2.124118,0,2.719804,2.769588,2.726638,2.74725,2.76409,0,0.1929875,0.1571184,0.1965105,0.1955235,0.1730669,0,0.07287144,0.04117322,0.06476991,0.0772643,0.05182845,0,2.400328,1.571409,1.743433,1.812224,1.842134
0.07,0,6.011508,6.030077,5.995284,6.022755,6.020584,0,5.517471,5.605491,5.558324,5.615319,5.626197,0,7.202485,7.334661,7.226695,7.277658,7.320756,0,0.51117,0.4190749,0.5163152,0.5174803,0.4606365,0,0.191466,0.1151844,0.1697622,0.2045086,0.135209,0,6.356675,4.181729,4.620944,4.796035,4.878346
0.08,0,14.09924,14.1499,14.06773,14.12669,14.12251,0,12.94255,13.14936,13.04296,13.17862,13.19908,0,16.89375,17.20263,16.96304,17.07509,17.17279,0,1.199182,0.9904253,1.202472,1.212285,1.085122,0,0.4458474,0.283686,0.3937209,0.4792044,0.3146335,0,14.91036,9.853469,10.84671,11.24209,11.44272
0.09,0,29.82509,29.94526,29.77011,29.88578,29.87748,0,27.38169,27.81907,27.60236,27.8944,27.9283,0,35.73972,36.38734,35.90949,36.13238,36.33213,0,2.537181,2.111714,2.527642,2.560085,2.303968,0,0.9369148,0.6267596,0.8232837,1.012315,0.6642488,0,31.54479,20.93491,22.96156,23.76829,24.2085
0.1,0,57.72401,57.97831,57.63684,57.84712,57.82899,0,53.00052,53.84471,53.44086,54.01611,54.06635,0,69.17838,70.41525,69.54668,69.95311,70.32661,0,4.910836,4.120055,4.864174,4.94422,4.472913,0,1.802233,1.260995,1.575336,1.955861,1.288936,0,61.06044,40.68349,44.46961,45.97849,46.85931
0.11,0,103.3944,103.884,103.2685,103.6258,103.5839,0,94.94247,96.44592,95.75035,96.79682,96.86457,0,123.9253,126.103,124.6489,125.335,125.9809,0,8.795332,7.440181,8.66746,8.833902,8.032021,0,3.209611,2.338764,2.791486,3.496206,2.322449,0,109.3854,73.14976,79.7017,82.3186,83.94314
0.12,0,172.997,173.8676,172.8331,173.403,173.308,0,158.8693,161.3616,160.2455,162.0179,162.103,0,207.3741,210.9427,208.6825,209.7628,210.8051,0,14.71155,12.55198,14.43323,14.73996,13.46609,0,5.34091,4.039092,4.625143,5.836651,3.917841,0,183.0453,122.8279,133.43,137.6781,140.4649
0.13,0,272.4485,273.8961,272.264,273.1174,272.9165,0,250.2213,254.0948,252.4157,255.2302,255.3331,0,326.6311,332.1149,328.8343,330.4293,332.0114,0,23.15606,19.9346,22.63084,23.14618,21.24067,0,8.366917,6.549599,7.222058,9.170229,6.229689,0,288.3087,194.0809,210.2459,216.75,221.2308
