time,ref1,finger1_exp1,finger1_exp2,finger1_exp3,finger1_exp4,finger1_exp5,ref2,finger2_exp1,finger2_exp2,finger2_exp3,finger2_exp4,finger2_exp5,ref3,finger3_exp1,finger3_exp2,finger3_exp3,finger3_exp4,finger3_exp5,force_ref1,force_finger1_exp1,force_finger1_exp2,force_finger1_exp3,force_finger1_exp4,force_finger1_exp5,force_ref2,force_finger2_exp1,force_finger2_exp2,force_finger2_exp3,force_finger2_exp4,force_finger2_exp5,force_ref3,force_finger3_exp1,force_finger3_exp2,force_finger3_exp3,force_finger3_exp4,force_finger3_exp5
0,0,4.27376e-05,4.241555e-05,4.268076e-05,4.260499e-05,4.269971e-05,0,3.974445e-05,3.97634e-05,3.983917e-05,3.97634e-05,3.982023e-05,0,5.150866e-05,5.181176e-05,5.171704e-05,5.126238e-05,5.169811e-05,0,3.504635e-06,3.409915e-06,3.807738e-06,3.485691e-06,3.523579e-06,0,1.250302e-06,1.307134e-06,1.28819e-06,9.850866e-07,1.212414e-06,0,3.402337e-05,3.381499e-05,3.106811e-05,3.226158e-05,3.370133e-05
0.01,0,0.0007944793,0.0007886626,0.0007942185,0.0007921466,0.0007936234,0,0.0007389094,0.0007390533,0.0007409925,0.0007395079,0.0007403561,0,0.0009576561,0.0009630258,0.0009613407,0.0009538544,0.0009615948,0,6.549578e-05,6.364012e-05,7.084662e-05,6.48026e-05,6.539331e-05,0,2.339596e-05,2.439569e-05,2.449816e-05,1.838955e-05,2.272947e-05,0,0.0006330222,0.0006286556,0.0005779105,0.0005996814,0.0006262015
0.02,0,0.007305576,0.007253536,0.007310178,0.007285351,0.007296243,0,0.006795438,0.006794879,0.006817335,0.006803009,0.006809173,0,0.008807553,0.008853987,0.008839033,0.008779379,0.008846894,0,0.0006050087,0.0005875468,0.0006522273,0.0005959801,0.0006006096,0,0.0002163263,0.0002249859,0.0002305028,0.0001702197,0.0002107616,0,0.005825621,0.005781122,0.005317818,0.005513843,0.005755464
0.03,0,0.04449262,0.04418431,0.04456069,0.04437784,0.04442725,0,0.04139248,0.04137801,0.04154055,0.04144977,0.04147916,0,0.05365179,0.05391378,0.05382527,0.05351869,0.05390608,0,0.003698888,0.003592958,0.003977878,0.003630852,0.003655366,0,0.00132355,0.001372992,0.001435911,0.001046315,0.00129428,0,0.03550687,0.0352104,0.03241103,0.03357813,0.03503623
0.04,0,0.2027618,0.2013982,0.2032407,0.2022878,0.202431,0,0.1886726,0.1885592,0.1894033,0.1889781,0.1890828,0,0.2445701,0.2456577,0.2452642,0.2441238,0.2457767,0,0.01691096,0.01644241,0.01815731,0.01655618,0.01665487,0,0.006054959,0.006265663,0.006687539,0.004825477,0.005947103,0,0.1619333,0.1604705,0.1478215,0.1530156,0.1596022
0.05,0,0.7405875,0.7357778,0.7429013,0.7391044,0.7392958,0,0.6893005,0.6887286,0.6921298,0.6905573,0.6908588,0,0.8935997,0.8971499,0.8957472,0.8924943,0.898114,0,0.06192997,0.060312,0.06643374,0.06052573,0.060845,0,0.0221886,0.02291034,0.02493033,0.01788041,0.02190043,0,0.5918952,0.5861613,0.5403692,0.5588859,0.5827501
0.06,0,2.26706,2.252943,2.275718,2.263575,2.263,0,2.110684,2.108513,2.119711,2.114917,2.115654,0,2.736583,2.746075,2.741902,2.73461,2.750531,0,0.1899711,0.1854208,0.2037145,0.1855095,0.1863586,0,0.06812008,0.0702145,0.07776079,0.0556422,0.06758869,0,1.813196,1.794509,1.65558,1.710899,1.783445
0.07,0,6.003094,5.967576,6.029823,5.997612,5.992525,0,5.590858,5.58419,5.615448,5.603026,5.604593,0,7.249835,7.271155,7.260515,7.247821,7.2866,0,0.5038068,0.4931054,0.5402951,0.4920052,0.4938615,0,0.1808569,0.1862167,0.2093999,0.1500131,0.1804246,0,4.804694,4.752414,4.387725,4.530722,4.721765
0.08,0,14.07819,13.99985,14.14902,14.07649,14.05493,0,13.11604,13.09875,13.17483,13.14683,13.14973,0,17.01108,17.05184,17.02815,17.01265,17.09575,0,1.182679,1.161336,1.26882,1.156047,1.159283,0,0.4251884,0.4376466,0.4983493,0.3585573,0.4265224,0,11.27563,11.14704,10.29878,10.62634,11.07262
0.09,0,29.77611,29.62186,29.94162,29.80088,29.73229,0,27.7511,27.71207,27.87713,27.82115,27.82567,0,36.00018,36.06636,36.01968,36.01417,36.17359,0,2.502579,2.466465,2.686419,2.450509,2.454487,0,0.9014081,0.9282136,1.067309,0.7733572,0.9092421,0,23.86474,23.58151,21.80078,22.4781,23.41981
