time,reference,state
0,1104,4.258605e-05
0.01,1104,0.0007915671
0.02,1104,0.007277715
0.03,1104,0.04431591
0.04,1104,0.2019266
0.05,1104,0.7374517
0.06,1104,2.257309
0.07,1104,5.977227
0.08,1104,14.0183
0.09,1104,29.65285
0.1,1104,57.38933
0.11,1104,102.7946
0.12,1104,171.9975
0.13,1104,270.89
0.14,1104,404.1214
0.15,1104,574.0483
0.16,1104,779.8367
0.17,1104,1016.907
0.18,1104,1276.866
0.19,1104,1547.992
0.2,1104,1816.247
0.21,1104,2066.693
0.22,1104,2285.128
0.23,1104,2459.704
0.24,1104,2582.303
0.25,1104,2649.469
0.26,1104,2662.773
0.27,1104,2628.556
0.28,1104,2557.104
0.29,1104,2461.369
0.3,1104,2355.427
0.31,1104,2252.863
0.32,1104,2165.314
0.33,1104,2101.337
0.34,1104,2065.716
0.35,1104,2059.289
0.36,1104,2079.249
0.37,1104,2119.873
0.38,1104,2173.531
0.39,1104,2231.836
0.4,1104,2286.769
0.41,1104,2331.648
0.42,1104,2361.824
0.43,1104,2375.046
0.44,1104,2371.492
0.45,1104,2353.475
0.46,1104,2324.914
0.47,1104,2290.66
0.48,1104,2255.766
0.49,1104,2224.817
0.5,1104,2201.39
0.51,1104,2187.699
0.52,1104,2184.459
0.53,1104,2190.955
0.54,1104,2205.288
0.55,1104,2224.747
0.56,1104,2246.246
0.57,1104,2266.767
0.58,1104,2283.741
0.59,1104,2295.335
0.6,1104,2300.617
0.61,1104,2299.576
0.62,1104,2293.03
0.63,1104,2282.435
0.64,1104,2269.622
0.65,1104,2256.524
0.66,1104,2244.909
0.67,1104,2236.166
0.68,1104,2231.16
0.69,1104,2230.177
0.7,1104,2232.941
0.71,1104,2238.713
0.72,1104,2246.434
0.73,1104,2254.893
0.74,1104,2262.906
0.75,1104,2269.464
0.76,1104,2273.839
0.77,1104,2275.65
0.78,1104,2274.874
0.79,1104,2271.806
0.8,1104,2266.991
0.81,1104,2261.128
0.82,1104,2254.969
0.83,1104,2249.223
0.84,1104,2244.473
0.85,1104,2241.118
0.86,1104,2239.347
0.87,1104,2239.133
0.88,1104,2240.264
0.89,1104,2242.386
0.9,1104,2245.067
0.91,1104,2247.858
0.92,1104,2250.358
0.93,1104,2252.26
0.94,1104,2253.384
0.95,1104,2253.687
0.96,1104,2253.258
0.97,1104,2252.289
0.98,1104,2251.037
0.99,1104,2249.786
1,1104,2248.797
1.01,1104,2248.275
1.02,1104,2248.342
1.03,1104,2249.024
1.04,1104,2250.258
1.05,1104,2251.898
1.06,1104,2253.75
1.07,1104,2255.593
1.08,1104,2257.22
1.09,1104,2258.46
1.1,1104,2259.2
1.11,1104,2259.4
1.12,1104,2259.088
1.13,1104,2258.353
1.14,1104,2257.329
1.15,1104,2256.173
1.16,1104,2255.044
1.17,1104,2254.079
1.18,1104,2253.382
1.19,1104,2253.01
1.2,1104,2252.975
1.21,1104,2253.246
1.22,1104,2253.758
1.23,1104,2254.43
1.24,1104,2255.172
1.25,1104,2255.907
1.26,1104,2256.573
1.27,1104,2257.134
1.28,1104,2257.581
1.29,1104,2257.924
1.3,1104,2258.189
1.31,1104,2258.408
1.32,1104,2258.607
1.33,1104,2258.806
1.34,1104,2259.005
1.35,1104,2259.194
1.36,1104,2259.348
1.37,1104,2259.437
1.38,1104,2259.426
1.39,1104,2259.288
1.4,1104,2259.004
1.41,1104,2258.571
1.42,1104,2258.005
1.43,1104,2257.338
1.44,1104,2256.621
1.45,1104,2255.914
1.46,1104,2255.279
1.47,1104,2254.775
1.48,1104,2254.449
1.49,1104,2254.33
1.5,1104,2254.425
1.51,1104,2254.72
1.52,1104,2255.184
1.53,1104,2255.769
1.54,1104,2256.417
1.55,1104,2257.072
1.56,1104,2257.679
1.57,1104,2258.192
1.58,1104,2258.581
1.59,1104,2258.831
1.6,1104,2258.946
1.61,1104,2258.944
1.62,1104,2258.854
1.63,1104,2258.711
1.64,1104,2258.549
1.65,1104,2258.39
1.66,1104,2258.245
1.67,1104,2258.11
1.68,1104,2257.964
1.69,1104,2257.778
1.7,1104,2257.519
1.71,1104,2257.157
1.72,1104,2256.677
1.73,1104,2256.082
1.74,1104,2255.399
1.75,1104,2254.677
1.76,1104,2253.983
1.77,1104,2253.397
1.78,1104,2252.999
1.79,1104,2252.86
1.8,1104,2253.03
1.81,1104,2253.529
1.82,1104,2254.344
1.83,1104,2255.427
1.84,1104,2256.7
1.85,1104,2258.06
1.86,1104,2259.393
1.87,1104,2260.584
1.88,1104,2261.53
1.89,1104,2262.149
1.9,1104,2262.389
1.91,1104,2262.236
1.92,1104,2261.709
1.93,1104,2260.862
1.94,1104,2259.778
1.95,1104,2258.554
1.96,1104,2257.297
1.97,1104,2256.109
1.98,1104,2255.076
1.99,1104,2254.263
2,1104,2253.705
2.01,1104,2253.407
2.02,1104,2253.347
2.03,1104,2253.479
2.04,1104,2253.74
2.05,1104,2254.064
2.06,1104,2254.389
2.07,1104,2254.667
2.08,1104,2254.87
2.09,1104,2254.998
2.1,1104,2255.072
2.11,1104,2255.13
2.12,1104,2255.223
2.13,1104,2255.397
2.14,1104,2255.692
2.15,1104,2256.12
2.16,1104,2256.672
2.17,1104,2257.306
2.18,1104,2257.953
2.19,1104,2258.524
2.2,1104,2258.922
2.21,1104,2259.053
2.22,1104,2258.851
2.23,1104,2258.281
2.24,1104,2257.357
2.25,1104,2256.145
2.26,1104,2254.756
2.27,1104,2253.338
2.28,1104,2252.058
2.29,1104,2251.081
2.3,1104,2250.546
2.31,1104,2250.554
2.32,1104,2251.141
2.33,1104,2252.281
2.34,1104,2253.879
2.35,1104,2255.781
2.36,1104,2257.787
2.37,1104,2259.679
2.38,1104,2261.243
2.39,1104,2262.299
2.4,1104,2262.721
2.41,1104,2262.461
2.42,1104,2261.55
2.43,1104,2260.096
2.44,1104,2258.269
2.45,1104,2256.277
2.46,1104,2254.338
2.47,1104,2252.65
2.48,1104,2251.366
2.49,1104,2250.578
2.5,1104,2250.305
2.51,1104,2250.501
2.52,1104,2251.066
2.53,1104,2251.866
2.54,1104,2252.754
2.55,1104,2253.598
2.56,1104,2254.292
2.57,1104,2254.77
2.58,1104,2255.013
2.59,1104,2255.039
2.6,1104,2254.894
2.61,1104,2254.641
2.62,1104,2254.342
2.63,1104,2254.051
